,season,holiday,workingday,weathersit,temp,atemp,hum,windspeed,hr,mnth,yr,prediction
12117,2,0,1,2,0.62,0.5758,0.83,0.0,2,5,1,12.0
8922,1,0,1,1,0.44,0.4394,0.72,0.1343,15,1,1,136.0
8983,1,0,0,2,0.16,0.1364,0.47,0.3881,4,1,1,5.0
8270,4,0,1,2,0.44,0.4394,0.33,0.2985,6,12,0,114.0
15898,4,0,1,2,0.3,0.3182,0.81,0.1045,3,10,1,2.0
13604,3,0,1,1,0.66,0.6212,0.65,0.2239,1,7,1,26.0
11775,2,0,1,1,0.52,0.5,0.4,0.3284,20,5,1,276.0
8978,1,0,0,1,0.16,0.1515,0.47,0.2239,23,1,1,52.0
14107,3,0,1,1,0.66,0.6212,0.69,0.0,0,8,1,47.0
13908,3,0,1,2,0.78,0.7424,0.62,0.1343,17,8,1,772.0
6350,4,0,1,3,0.62,0.5455,0.94,0.0896,4,9,0,3.0
7732,4,0,1,1,0.38,0.3939,0.58,0.3881,19,11,0,253.0
11896,2,0,1,3,0.64,0.6061,0.73,0.2836,21,5,1,223.0
14104,3,0,1,1,0.7,0.6515,0.61,0.194,21,8,1,290.0
14845,3,0,0,2,0.64,0.6212,0.36,0.2836,18,9,1,571.0
6044,3,0,1,1,0.7,0.6515,0.7,0.1343,10,9,0,129.0
4296,3,0,0,1,0.72,0.6667,0.51,0.1642,22,7,0,209.0
8530,1,0,1,2,0.3,0.2879,0.65,0.2239,4,12,0,3.0
13227,3,0,1,1,0.72,0.697,0.74,0.1343,8,7,1,738.0
11511,2,0,0,1,0.56,0.5303,0.32,0.0896,20,4,1,321.0
6405,4,0,1,1,0.62,0.6061,0.61,0.194,11,9,0,165.0
2579,2,0,1,3,0.34,0.303,0.61,0.2985,9,4,0,46.0
828,1,0,0,1,0.24,0.2879,0.65,0.0,23,2,0,17.0
4400,3,0,1,2,0.64,0.5758,0.89,0.1343,6,7,0,115.0
14752,3,0,1,1,0.56,0.5303,0.6,0.1045,21,9,1,299.0
9904,1,0,1,1,0.52,0.5,0.32,0.3881,17,2,1,419.0
14169,3,0,0,1,0.76,0.6667,0.37,0.2836,14,8,1,607.0
9358,1,0,1,1,0.3,0.303,0.39,0.1642,20,1,1,201.0
11217,2,0,1,1,0.64,0.6212,0.27,0.2836,14,4,1,334.0
16133,4,0,1,1,0.32,0.3333,0.81,0.0896,23,11,1,83.0
15244,4,0,1,3,0.58,0.5455,0.88,0.1343,9,10,1,123.0
5927,3,0,1,1,0.64,0.5606,0.94,0.0,12,9,0,103.0
12049,2,0,1,3,0.56,0.5303,0.88,0.1045,6,5,1,120.0
4510,3,0,1,1,0.72,0.697,0.74,0.4179,20,7,0,285.0
8898,1,0,1,2,0.34,0.3485,0.87,0.0896,15,1,1,56.0
10629,2,0,0,1,0.58,0.5455,0.68,0.0,0,3,1,98.0
5363,3,0,1,1,0.68,0.6364,0.61,0.2836,9,8,0,162.0
10236,1,0,1,1,0.52,0.5,0.36,0.3284,14,3,1,205.0
3658,2,0,1,1,0.64,0.6061,0.73,0.0896,8,6,0,498.0
7588,4,0,1,1,0.3,0.2879,0.45,0.2239,19,11,0,214.0
6202,3,0,1,1,0.54,0.5152,1.0,0.0,0,9,0,16.0
4081,3,0,1,1,0.7,0.6667,0.74,0.2836,23,6,0,105.0
2678,2,0,1,1,0.7,0.6515,0.61,0.4179,12,4,0,177.0
3425,2,0,1,1,0.78,0.7121,0.49,0.2836,15,5,0,170.0
13073,3,0,1,1,0.68,0.6364,0.79,0.194,22,7,1,212.0
2988,2,0,1,1,0.56,0.5303,0.52,0.194,10,5,0,148.0
8852,1,0,1,3,0.22,0.2576,0.87,0.0896,16,1,1,37.0
1355,1,0,1,1,0.32,0.3182,0.39,0.194,18,3,0,235.0
7677,4,0,1,2,0.5,0.4848,0.77,0.1343,12,11,0,134.0
7316,4,0,0,1,0.42,0.4242,0.58,0.0896,11,11,0,230.0
123,1,0,1,2,0.18,0.2424,0.51,0.0,9,1,0,139.0
10268,1,0,1,1,0.56,0.5303,0.49,0.3284,22,3,1,202.0
10481,1,0,0,1,0.56,0.5303,0.64,0.194,20,3,1,309.0
12522,2,0,0,1,0.72,0.6667,0.58,0.1045,23,6,1,87.0
16415,4,0,1,1,0.4,0.4091,0.4,0.1642,17,11,1,654.0
15863,4,0,0,2,0.5,0.4848,0.63,0.3582,4,10,1,28.0
8888,1,0,1,1,0.2,0.2121,0.8,0.1343,5,1,1,13.0
14754,3,0,1,1,0.54,0.5152,0.68,0.1045,23,9,1,127.0
1580,1,0,1,1,0.28,0.2727,0.7,0.2537,8,3,0,256.0
7217,4,0,1,1,0.32,0.3485,0.87,0.0,8,11,0,456.0
10628,2,0,1,1,0.6,0.5909,0.69,0.2537,23,3,1,54.0
15234,4,0,1,3,0.54,0.5152,0.77,0.0,23,10,1,71.0
14985,3,0,1,1,0.7,0.6515,0.54,0.2985,14,9,1,274.0
11906,2,0,1,1,0.56,0.5303,0.83,0.0,7,5,1,415.0
4475,3,0,0,1,0.74,0.697,0.66,0.0896,9,7,0,230.0
8481,1,0,0,1,0.22,0.2273,0.69,0.1343,1,12,0,6.0
2008,2,0,1,1,0.34,0.303,0.25,0.2985,13,3,0,72.0
9307,1,0,0,1,0.42,0.4242,0.44,0.3881,17,1,1,206.0
13821,3,0,0,1,0.72,0.7121,0.84,0.1343,2,8,1,69.0
1768,1,0,0,1,0.42,0.4242,0.44,0.4627,9,3,0,256.0
8589,1,0,1,1,0.3,0.303,0.52,0.1642,16,12,0,131.0
4547,3,0,1,1,0.82,0.7424,0.41,0.194,9,7,0,176.0
9152,1,0,0,2,0.16,0.1515,0.74,0.2239,6,1,1,1.0
8973,1,0,0,1,0.22,0.2273,0.41,0.194,18,1,1,181.0
101,1,0,1,1,0.22,0.197,0.37,0.3284,10,1,0,63.0
8725,1,0,1,1,0.04,0.0606,0.45,0.1343,9,1,1,153.0
11817,2,0,0,1,0.66,0.6212,0.36,0.194,14,5,1,590.0
8620,1,0,1,2,0.36,0.3333,0.66,0.2537,23,12,0,27.0
6478,4,0,0,2,0.4,0.4091,0.62,0.194,12,10,0,299.0
169,1,0,0,3,0.16,0.1818,0.93,0.1045,8,1,0,10.0
9584,1,0,1,1,0.2,0.197,0.69,0.2537,7,2,1,226.0
635,1,0,0,1,0.22,0.2273,0.69,0.1343,18,1,0,65.0
12107,2,0,1,1,0.74,0.6818,0.55,0.3582,16,5,1,438.0
2857,2,0,1,2,0.56,0.5303,0.68,0.3284,23,5,0,115.0
4048,3,0,1,2,0.82,0.7727,0.52,0.2836,14,6,0,189.0
733,1,0,1,1,0.22,0.2121,0.44,0.2537,22,2,0,35.0
12116,2,0,1,1,0.62,0.5758,0.83,0.0896,1,5,1,30.0
14735,3,0,1,1,0.48,0.4697,0.72,0.1045,4,9,1,6.0
11037,2,0,1,1,0.42,0.4242,0.5,0.2239,1,4,1,11.0
8034,4,0,1,3,0.46,0.4545,0.94,0.2836,10,12,0,55.0
2435,2,0,0,3,0.4,0.4091,1.0,0.2985,9,4,0,70.0
4288,3,0,0,1,0.84,0.7121,0.2,0.0,14,7,0,420.0
6319,4,0,0,1,0.62,0.5455,0.94,0.0896,21,9,0,121.0
12266,2,0,1,1,0.6,0.6061,0.64,0.2836,7,5,1,474.0
11753,2,0,1,3,0.48,0.4697,0.82,0.1045,22,5,1,111.0
7779,4,0,1,1,0.46,0.4545,0.44,0.0896,18,11,0,469.0
6105,3,0,1,1,0.5,0.4848,0.59,0.0,23,9,0,93.0
14611,3,0,1,2,0.7,0.6667,0.84,0.0896,0,9,1,96.0
4124,3,0,0,1,0.72,0.6515,0.45,0.2537,18,6,0,428.0
14782,3,0,1,1,0.52,0.5,0.83,0.0,3,9,1,5.0
10708,2,0,1,1,0.22,0.2273,0.37,0.194,7,3,1,246.0
13788,3,0,1,1,0.82,0.7727,0.52,0.2537,17,8,1,730.0
9258,1,0,1,2,0.4,0.4091,0.71,0.0896,16,1,1,287.0
10121,1,0,1,3,0.36,0.3485,0.87,0.194,19,3,1,102.0
12620,2,0,1,1,0.58,0.5455,0.78,0.194,1,6,1,22.0
3584,2,0,1,1,0.54,0.5152,0.45,0.2985,6,6,0,121.0
2677,2,0,1,1,0.68,0.6364,0.65,0.3881,11,4,0,147.0
2609,2,0,0,1,0.6,0.5909,0.73,0.3881,15,4,0,153.0
16224,4,0,1,1,0.34,0.3182,0.49,0.2836,18,11,1,542.0
2150,2,0,1,1,0.6,0.6212,0.4,0.3881,11,4,0,157.0
9389,1,0,1,1,0.44,0.4394,0.44,0.194,3,2,1,5.0
14615,3,0,1,2,0.7,0.6667,0.84,0.0896,4,9,1,10.0
17354,1,0,0,1,0.2,0.197,0.51,0.2239,23,12,1,36.0
59,1,0,1,1,0.26,0.2424,0.3,0.2836,14,1,0,71.0
4229,3,0,1,1,0.6,0.6061,0.6,0.1642,3,6,0,11.0
10839,2,0,0,1,0.52,0.5,0.52,0.2985,18,4,1,495.0
8903,1,0,1,3,0.32,0.3182,0.93,0.1642,20,1,1,97.0
6842,4,0,1,1,0.58,0.5455,0.56,0.2537,16,10,0,309.0
6021,3,0,1,1,0.7,0.6515,0.61,0.1642,11,9,0,165.0
15378,4,0,0,1,0.36,0.3485,0.93,0.1343,23,10,1,146.0
2467,2,0,0,1,0.56,0.5303,0.3,0.4478,17,4,0,277.0
7550,4,0,1,3,0.46,0.4545,0.94,0.1045,5,11,0,20.0
5174,3,0,1,1,0.82,0.7576,0.46,0.2537,12,8,0,201.0
8121,4,0,0,2,0.26,0.2576,0.7,0.1642,1,12,0,87.0
12409,2,0,1,1,0.48,0.4697,0.77,0.0,6,6,1,139.0
12128,2,0,1,1,0.74,0.6818,0.62,0.1343,13,5,1,302.0
8952,1,0,1,1,0.24,0.2121,0.41,0.2836,21,1,1,129.0
11874,2,0,1,2,0.58,0.5455,0.78,0.1045,23,5,1,149.0
1554,1,0,1,3,0.36,0.3485,0.0,0.194,5,3,0,12.0
12227,2,0,1,1,0.82,0.7727,0.49,0.4925,16,5,1,438.0
12923,3,0,1,1,0.82,0.697,0.24,0.4478,16,6,1,525.0
11167,2,0,0,1,0.64,0.6212,0.44,0.2836,12,4,1,681.0
12593,2,0,1,1,0.62,0.6212,0.5,0.2985,22,6,1,271.0
15082,4,0,1,1,0.66,0.6212,0.36,0.3284,15,9,1,293.0
13820,3,0,0,1,0.72,0.7121,0.84,0.194,1,8,1,79.0
16860,4,0,1,2,0.38,0.3939,0.94,0.2537,7,12,1,396.0
14816,3,0,1,2,0.7,0.6515,0.54,0.194,13,9,1,409.0
10464,1,0,0,2,0.44,0.4394,0.88,0.0,3,3,1,18.0
2704,2,0,1,1,0.68,0.6364,0.74,0.2836,14,4,0,188.0
3289,2,0,0,1,0.58,0.5455,0.78,0.0896,23,5,0,125.0
9774,1,0,1,2,0.28,0.2727,0.93,0.1642,5,2,1,25.0
15562,4,0,1,1,0.6,0.5758,0.78,0.3284,15,10,1,237.0
3290,2,0,0,1,0.54,0.5152,0.88,0.1642,0,5,0,98.0
1984,2,0,1,2,0.3,0.2879,0.24,0.2239,13,3,0,72.0
2184,2,0,1,1,0.34,0.2879,0.46,0.5224,21,4,0,43.0
3579,2,0,1,1,0.6,0.6212,0.38,0.3582,1,6,0,4.0
4915,3,0,1,1,0.84,0.803,0.53,0.194,17,7,0,511.0
12202,2,1,0,1,0.82,0.7879,0.56,0.2985,15,5,1,465.0
3682,2,0,1,2,0.68,0.6364,0.61,0.1343,8,6,0,347.0
8192,4,0,1,1,0.22,0.2727,0.8,0.0,0,12,0,17.0
2797,2,0,0,1,0.46,0.4545,0.82,0.1045,11,5,0,442.0
2662,2,0,1,1,0.66,0.6212,0.61,0.2836,20,4,0,165.0
11584,2,0,1,1,0.52,0.5,0.77,0.2239,21,5,1,298.0
16623,4,0,1,2,0.3,0.3333,0.65,0.0,10,11,1,228.0
4455,3,0,0,1,0.82,0.7424,0.41,0.2239,13,7,0,373.0
4546,3,0,1,1,0.8,0.7424,0.49,0.2537,8,7,0,540.0
8178,4,0,1,2,0.22,0.2424,0.69,0.1045,10,12,0,115.0
6335,4,0,1,2,0.7,0.6667,0.74,0.1642,13,9,0,151.0
2099,2,0,0,1,0.3,0.3182,0.7,0.1045,8,4,0,101.0
9000,1,0,0,1,0.16,0.1667,0.4,0.1642,21,1,1,69.0
3800,2,0,0,1,0.62,0.5606,0.88,0.1045,6,6,0,20.0
1208,1,0,1,1,0.2,0.2576,0.4,0.0,10,2,0,59.0
8409,1,0,1,1,0.44,0.4394,0.94,0.0896,1,12,0,31.0
3341,2,0,1,2,0.58,0.5455,0.94,0.1045,3,5,0,4.0
17205,1,0,1,3,0.24,0.2424,0.93,0.1642,17,12,1,26.0
12365,2,0,1,1,0.64,0.6212,0.41,0.4627,10,6,1,154.0
11991,2,0,0,1,0.68,0.6364,0.41,0.0896,20,5,1,321.0
5803,3,0,0,1,0.64,0.5758,0.84,0.2239,6,9,0,37.0
15778,4,0,1,1,0.7,0.6364,0.39,0.1045,15,10,1,296.0
884,1,0,1,1,0.1,0.1364,0.42,0.0,8,2,0,177.0
8972,1,0,0,1,0.24,0.2273,0.41,0.2537,17,1,1,146.0
10368,1,0,1,3,0.52,0.5,0.72,0.2985,3,3,1,8.0
8739,1,0,1,2,0.2,0.2273,0.44,0.1045,23,1,1,31.0
1305,1,0,0,1,0.44,0.4394,0.47,0.0896,14,2,0,241.0
11750,2,0,1,3,0.5,0.4848,0.77,0.3582,19,5,1,45.0
13858,3,0,0,1,0.9,0.8182,0.37,0.5224,15,8,1,526.0
10588,2,0,1,2,0.48,0.4697,1.0,0.0896,7,3,1,385.0
15779,4,0,1,1,0.74,0.6515,0.33,0.1343,16,10,1,493.0
2954,2,0,0,2,0.5,0.4848,0.59,0.1045,0,5,0,17.0
3550,2,0,1,2,0.74,0.7121,0.79,0.2537,20,6,0,309.0
2021,2,0,1,2,0.32,0.3485,0.57,0.0,2,3,0,7.0
2701,2,0,1,2,0.64,0.5909,0.78,0.2836,11,4,0,104.0
16179,4,0,0,1,0.44,0.4394,0.67,0.2239,21,11,1,166.0
15052,4,0,1,1,0.52,0.5,0.52,0.194,9,9,1,409.0
11699,2,0,1,2,0.6,0.6212,0.53,0.3881,16,5,1,438.0
4073,3,0,1,2,0.76,0.697,0.52,0.3582,15,6,0,210.0
4977,3,0,0,1,0.74,0.6818,0.58,0.1343,7,7,0,68.0
4032,3,0,1,1,0.7,0.6667,0.79,0.1045,22,6,0,152.0
2932,2,0,0,1,0.42,0.4242,0.82,0.0896,2,5,0,28.0
1087,1,0,1,1,0.44,0.4394,0.72,0.2239,1,2,0,19.0
5975,3,0,0,1,0.7,0.6515,0.65,0.0,12,9,0,402.0
14979,3,0,1,1,0.54,0.5152,0.73,0.1343,8,9,1,838.0
4057,3,0,1,2,0.72,0.697,0.79,0.2239,23,6,0,60.0
9458,1,0,0,1,0.26,0.2727,0.7,0.1045,0,2,1,61.0
16984,4,0,0,1,0.34,0.3485,0.61,0.0896,11,12,1,411.0
8413,1,0,1,1,0.38,0.3939,0.82,0.0,5,12,0,34.0
17001,4,0,0,2,0.34,0.3636,0.87,0.0,4,12,1,7.0
9387,1,0,1,1,0.44,0.4394,0.41,0.2836,1,2,1,11.0
4918,3,0,1,1,0.8,0.7879,0.63,0.194,20,7,0,308.0
8372,4,0,1,2,0.44,0.4394,0.54,0.1343,12,12,0,154.0
9532,1,0,1,2,0.3,0.3333,0.7,0.0,3,2,1,3.0
424,1,0,1,1,0.36,0.3333,0.57,0.3284,17,1,0,190.0
476,1,0,1,1,0.08,0.0758,0.38,0.2836,21,1,0,40.0
14914,3,0,1,3,0.6,0.5455,0.88,0.2537,15,9,1,143.0
16686,4,0,1,1,0.4,0.4091,0.82,0.1343,1,12,1,25.0
9848,1,1,0,1,0.2,0.1818,0.59,0.3582,8,2,1,26.0
3073,2,0,1,2,0.54,0.5152,0.77,0.194,23,5,0,64.0
9721,1,0,1,1,0.32,0.3485,0.57,0.0,0,2,1,32.0
1697,1,0,1,2,0.32,0.3333,0.93,0.1343,9,3,0,109.0
8054,4,0,1,3,0.48,0.4697,1.0,0.4179,6,12,0,82.0
4304,3,0,0,2,0.62,0.5455,0.94,0.0896,6,7,0,6.0
1470,1,0,0,3,0.44,0.4394,1.0,0.2239,14,3,0,7.0
2270,2,0,0,2,0.36,0.3636,0.81,0.0,11,4,0,222.0
10443,1,0,1,2,0.4,0.4091,0.87,0.1642,6,3,1,82.0
17272,1,0,1,1,0.3,0.2727,0.49,0.4627,13,12,1,109.0
7092,4,0,1,1,0.3,0.2879,0.7,0.2836,3,10,0,2.0
12930,3,0,1,1,0.68,0.6364,0.47,0.1343,23,6,1,226.0
3559,2,0,1,1,0.66,0.6212,0.39,0.2239,5,6,0,18.0
11206,2,0,1,1,0.56,0.5303,0.83,0.0896,3,4,1,6.0
16953,4,0,1,1,0.2,0.2273,0.75,0.0896,4,12,1,4.0
5339,3,0,1,1,0.64,0.5909,0.78,0.3284,9,8,0,202.0
9445,1,0,1,1,0.32,0.303,0.53,0.2985,11,2,1,138.0
13247,3,0,1,1,0.64,0.5758,0.89,0.1343,4,7,1,7.0
10007,1,0,1,1,0.26,0.2424,0.6,0.2537,0,2,1,15.0
9351,1,0,1,1,0.3,0.2879,0.31,0.194,13,1,1,172.0
13431,3,0,1,1,0.74,0.6818,0.62,0.0896,20,7,1,474.0
485,1,0,0,1,0.02,0.0152,0.44,0.2836,7,1,0,27.0
8048,4,0,1,1,0.44,0.4394,1.0,0.194,0,12,0,24.0
7335,4,0,1,2,0.28,0.3182,0.93,0.0,6,11,0,87.0
9893,1,0,1,1,0.32,0.3182,0.76,0.1642,6,2,1,91.0
6133,3,0,0,1,0.44,0.4394,0.82,0.194,3,9,0,18.0
15921,4,0,1,1,0.32,0.3333,0.66,0.1343,2,11,1,5.0
17161,1,0,0,1,0.24,0.2424,0.48,0.1642,20,12,1,47.0
9920,1,0,1,1,0.36,0.3333,0.81,0.2537,9,2,1,252.0
4560,3,0,1,1,0.68,0.6364,0.83,0.194,22,7,0,186.0
3418,2,0,1,1,0.66,0.6212,0.74,0.2836,8,5,0,420.0
3369,2,0,1,1,0.62,0.5909,0.73,0.1343,7,5,0,249.0
13282,3,0,1,1,0.8,0.7121,0.36,0.194,15,7,1,391.0
4375,3,0,1,1,0.68,0.6364,0.83,0.0896,5,7,0,27.0
15410,4,0,1,1,0.38,0.3939,0.83,0.2537,7,10,1,464.0
17162,1,0,0,1,0.22,0.2121,0.51,0.2836,21,12,1,72.0
1302,1,0,0,1,0.36,0.3485,0.62,0.1343,11,2,0,185.0
9426,1,0,1,1,0.46,0.4545,0.55,0.2836,16,2,1,219.0
8214,4,0,1,1,0.3,0.303,0.52,0.1642,22,12,0,102.0
1862,2,0,1,2,0.32,0.303,0.81,0.2537,9,3,0,127.0
1027,1,0,1,1,0.28,0.2727,0.24,0.2537,12,2,0,59.0
13218,3,0,1,2,0.7,0.6515,0.65,0.1045,23,7,1,178.0
11335,2,0,0,3,0.38,0.3939,0.87,0.3284,12,4,1,68.0
16321,4,0,0,1,0.34,0.3485,0.53,0.0896,19,11,1,257.0
3703,2,0,1,1,0.62,0.5606,0.88,0.0,5,6,0,23.0
9843,1,1,0,2,0.24,0.2576,0.87,0.0896,2,2,1,17.0
13448,3,0,1,1,0.84,0.7727,0.47,0.1343,13,7,1,226.0
16068,4,0,1,2,0.28,0.2576,0.52,0.3284,5,11,1,35.0
2380,2,0,1,1,0.36,0.3485,0.76,0.1343,2,4,0,2.0
15601,4,0,1,1,0.38,0.3939,0.82,0.0,6,10,1,158.0
7771,4,0,1,1,0.36,0.3485,0.71,0.1642,10,11,0,123.0
290,1,0,1,1,0.22,0.197,0.41,0.4478,13,1,0,64.0
16366,4,0,1,1,0.42,0.4242,0.58,0.2537,16,11,1,417.0
3571,2,0,1,1,0.76,0.6515,0.2,0.5224,17,6,0,564.0
7220,4,0,1,1,0.42,0.4242,0.71,0.1343,11,11,0,147.0
4353,3,0,1,1,0.7,0.6515,0.65,0.0896,7,7,0,305.0
2900,2,0,1,1,0.56,0.5303,0.26,0.2836,18,5,0,470.0
10528,1,0,1,1,0.62,0.6061,0.61,0.2239,19,3,1,456.0
8570,1,0,1,1,0.22,0.2273,0.44,0.1343,21,12,0,47.0
13627,3,0,1,1,0.72,0.6818,0.7,0.0,0,7,1,63.0
12390,2,0,1,2,0.56,0.5303,0.56,0.194,11,6,1,217.0
6688,4,0,1,1,0.52,0.5,0.83,0.0896,6,10,0,109.0
5293,3,0,0,2,0.74,0.697,0.7,0.194,11,8,0,337.0
10556,1,0,1,1,0.52,0.5,0.83,0.0,23,3,1,187.0
12670,2,0,0,1,0.54,0.5152,0.64,0.1045,3,6,1,28.0
16719,4,0,1,1,0.46,0.4545,0.82,0.194,10,12,1,190.0
16899,4,0,1,1,0.3,0.2879,0.56,0.2239,22,12,1,129.0
2848,2,0,1,2,0.7,0.6515,0.58,0.5224,14,5,0,265.0
14217,3,0,1,1,0.72,0.6667,0.54,0.1642,14,8,1,273.0
3222,2,0,1,1,0.48,0.4697,0.94,0.0,4,5,0,7.0
1056,1,0,1,1,0.4,0.4091,0.4,0.2239,18,2,0,127.0
3592,2,0,1,1,0.7,0.6364,0.28,0.2836,14,6,0,212.0
16449,4,0,1,1,0.26,0.303,0.7,0.0,3,11,1,4.0
16020,4,0,1,2,0.3,0.2727,0.52,0.3284,5,11,1,35.0
8267,4,0,1,1,0.46,0.4545,0.82,0.1343,3,12,0,6.0
6584,4,0,1,1,0.46,0.4545,0.82,0.0,22,10,0,135.0
17114,4,0,1,3,0.34,0.3333,0.76,0.1642,21,12,1,199.0
2175,2,0,1,2,0.34,0.303,0.71,0.3881,12,4,0,73.0
3647,2,0,0,1,0.64,0.6061,0.73,0.1642,21,6,0,136.0
11853,2,0,1,1,0.6,0.6061,0.6,0.2985,2,5,1,11.0
15587,4,0,1,1,0.54,0.5152,0.39,0.2836,16,10,1,495.0
8651,1,0,0,1,0.26,0.2727,0.93,0.1343,6,1,1,5.0
15865,4,0,0,2,0.5,0.4848,0.59,0.3284,6,10,1,30.0
14911,3,0,1,3,0.68,0.6364,0.83,0.4478,12,9,1,59.0
6765,4,0,1,3,0.52,0.5,0.88,0.1642,11,10,0,75.0
10955,2,0,1,1,0.5,0.4848,0.27,0.2836,15,4,1,352.0
4718,3,0,1,1,0.82,0.803,0.59,0.0,12,7,0,165.0
5526,3,0,1,1,0.54,0.5152,0.56,0.1642,4,8,0,6.0
1002,1,0,1,1,0.44,0.4394,0.33,0.2239,10,2,0,122.0
8729,1,0,1,2,0.14,0.1212,0.43,0.2537,13,1,1,75.0
4913,3,0,1,1,0.86,0.8182,0.5,0.194,15,7,0,158.0
2267,2,0,0,2,0.32,0.303,0.93,0.1642,8,4,0,63.0
10604,2,0,1,1,0.56,0.5303,0.83,0.0896,23,3,1,54.0
5391,3,0,1,1,0.8,0.7121,0.41,0.194,13,8,0,201.0
2167,2,0,1,3,0.5,0.4848,0.88,0.4925,4,4,0,7.0
5493,3,0,0,1,0.72,0.6818,0.7,0.2537,19,8,0,259.0
17173,1,0,0,1,0.14,0.1667,0.69,0.1045,8,12,1,11.0
2830,2,0,1,2,0.62,0.6061,0.69,0.1343,20,5,0,285.0
1498,1,0,1,1,0.3,0.2879,0.33,0.2239,19,3,0,119.0
12667,2,0,0,1,0.56,0.5303,0.56,0.1343,0,6,1,137.0
15246,4,0,1,3,0.58,0.5455,0.94,0.1343,11,10,1,238.0
11304,2,0,0,1,0.5,0.4848,0.82,0.2537,5,4,1,10.0
2559,2,0,1,1,0.48,0.4697,0.33,0.3284,13,4,0,112.0
2405,2,1,0,1,0.4,0.4091,0.76,0.0,3,4,0,23.0
3577,2,0,1,1,0.62,0.6212,0.35,0.2239,23,6,0,89.0
2145,2,0,1,1,0.42,0.4242,0.58,0.2836,6,4,0,64.0
13724,3,0,1,1,0.66,0.6061,0.83,0.1343,1,7,1,17.0
16136,4,0,0,1,0.32,0.3485,0.81,0.0,2,11,1,66.0
7628,4,0,0,1,0.36,0.3788,0.4,0.0,11,11,0,238.0
1114,1,0,0,1,0.4,0.4091,0.15,0.3284,4,2,0,3.0
16060,4,0,1,2,0.3,0.2879,0.56,0.2537,21,11,1,202.0
15002,3,0,0,1,0.58,0.5455,0.78,0.2537,7,9,1,102.0
15200,4,0,0,1,0.62,0.6212,0.41,0.2537,13,9,1,686.0
9338,1,0,1,2,0.32,0.2879,0.26,0.4179,0,1,1,10.0
980,1,0,0,1,0.36,0.3182,0.32,0.4627,12,2,0,182.0
6661,4,1,0,1,0.46,0.4545,0.88,0.0,3,10,0,51.0
15427,4,0,1,2,0.46,0.4545,0.88,0.0896,0,10,1,31.0
5125,3,0,0,1,0.78,0.7424,0.62,0.2239,11,8,0,421.0
12123,2,0,1,2,0.64,0.5758,0.89,0.1045,8,5,1,613.0
13458,3,0,1,3,0.66,0.5909,0.89,0.2239,23,7,1,110.0
12038,2,0,1,1,0.66,0.6212,0.69,0.0896,19,5,1,512.0
12886,3,0,1,1,0.54,0.5152,0.45,0.2836,3,6,1,16.0
11671,2,0,0,2,0.6,0.6061,0.64,0.0896,12,5,1,565.0
2140,2,0,1,1,0.4,0.4091,0.56,0.3582,1,4,0,16.0
13043,3,0,1,1,0.84,0.7424,0.36,0.2836,16,7,1,499.0
13900,3,0,1,2,0.7,0.6667,0.74,0.1343,9,8,1,344.0
15196,4,0,0,1,0.52,0.5,0.63,0.1045,9,9,1,363.0
2684,2,0,1,1,0.68,0.6364,0.65,0.4478,18,4,0,499.0
11075,2,0,1,1,0.44,0.4394,0.33,0.2985,16,4,1,520.0
